S65-COST eps = 0.000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 82.0 9.9 12.05
S65-COST ball 0.02 620 423.6 109.0 25.74
S65-COST ball 0.004 3012 1997.4 742.5 37.17
S65-COST cone 0.1 52 42.2 3.7 8.87
S65-COST cone 0.02 224 139.9 20.4 14.60
S65-COST cone 0.004 1156 701.1 228.8 32.63
S65-COST l_prism 0.1 20 31.2 1.4 4.61
S65-COST l_prism 0.02 20 31.4 1.4 4.53
S65-COST l_prism 0.004 20 30.0 1.3 4.41
S65-COST washer 0.1 100 138.5 8.4 6.07
S65-COST washer 0.02 220 383.1 19.8 5.16
S65-COST washer 0.004 484 975.2 59.9 6.14
S65-COST donut 0.1 14620 10768.4 3259.2 30.27
S65-COST donut 0.02 71820 61423.5 18540.7 30.19
S65-COST donut 0.004 356168 410638.9 101671.8 24.76
S65-COST sphere_wedge 0.1 46 40.6 3.4 8.32
S65-COST sphere_wedge 0.02 212 146.5 19.2 13.12
S65-COST sphere_wedge 0.004 1014 660.5 194.7 29.48
S65-COST wedge 0.1 32 31.6 2.0 6.30
S65-COST wedge 0.02 60 63.7 4.1 6.37
S65-COST wedge 0.004 128 141.1 9.6 6.80
S65-COST cone_wedge 0.1 4 7.8 0.2 3.03
S65-COST cone_wedge 0.02 4 7.7 0.2 2.99
S65-COST cone_wedge 0.004 4 8.7 0.2 2.63
