
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 69.2 9.9 14.31
S65-COST ball 0.02 620 316.7 103.8 32.77
S65-COST ball 0.004 3012 1585.1 671.4 42.36
S65-COST cone 0.1 52 36.5 3.8 10.54
S65-COST cone 0.02 224 115.4 20.5 17.80
S65-COST cone 0.004 1156 530.1 198.6 37.47
S65-COST l_prism 0.1 20 23.0 1.1 4.66
S65-COST l_prism 0.02 20 22.6 1.0 4.45
S65-COST l_prism 0.004 20 22.6 1.0 4.40
S65-COST washer 0.1 100 94.8 6.5 6.82
S65-COST washer 0.02 220 328.6 21.4 6.50
S65-COST washer 0.004 484 929.5 69.3 7.45
S65-COST donut 0.1 14620 10472.7 3416.1 32.62
S65-COST donut 0.02 71820 52660.1 18121.5 34.41
S65-COST donut 0.004 356168 344243.7 98259.8 28.54
S65-COST sphere_wedge 0.1 46 37.0 3.3 8.81
S65-COST sphere_wedge 0.02 212 119.1 19.8 16.65
S65-COST sphere_wedge 0.004 1014 609.4 199.9 32.80
S65-COST wedge 0.1 32 33.8 2.2 6.42
S65-COST wedge 0.02 60 58.4 4.3 7.32
S65-COST wedge 0.004 128 129.3 10.8 8.33
S65-COST cone_wedge 0.1 4 7.7 0.2 2.75
S65-COST cone_wedge 0.02 4 11.0 0.2 1.68
S65-COST cone_wedge 0.004 4 8.2 0.2 2.47
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 21.81s

