
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 55.9 8.5 15.26
S65-COST ball 0.02 620 302.9 87.5 28.91
S65-COST ball 0.004 3012 1498.8 677.9 45.23
S65-COST cone 0.1 52 33.8 3.7 10.90
S65-COST cone 0.02 224 109.2 20.7 18.96
S65-COST cone 0.004 1156 572.0 211.4 36.96
S65-COST l_prism 0.1 20 21.0 1.1 5.14
S65-COST l_prism 0.02 20 22.8 1.0 4.55
S65-COST l_prism 0.004 20 20.6 1.1 5.56
S65-COST washer 0.1 100 82.3 6.7 8.18
S65-COST washer 0.02 220 287.4 16.3 5.67
S65-COST washer 0.004 484 832.8 53.7 6.45
S65-COST donut 0.1 14620 10423.3 3539.0 33.95
S65-COST donut 0.02 71820 52932.3 17880.8 33.78
S65-COST donut 0.004 356168 362172.6 98647.3 27.24
S65-COST sphere_wedge 0.1 46 33.2 4.2 12.51
S65-COST sphere_wedge 0.02 212 118.4 19.2 16.19
S65-COST sphere_wedge 0.004 1014 536.6 199.3 37.14
S65-COST wedge 0.1 32 31.6 2.2 7.05
S65-COST wedge 0.02 60 50.4 3.8 7.56
S65-COST wedge 0.004 128 107.2 9.7 9.01
S65-COST cone_wedge 0.1 4 7.0 0.2 2.38
S65-COST cone_wedge 0.02 4 6.3 0.2 2.46
S65-COST cone_wedge 0.004 4 6.1 0.1 2.43
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 22.52s

