
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 77.9 10.0 12.79
S65-COST ball 0.02 620 518.7 87.9 16.94
S65-COST ball 0.004 3012 2200.1 582.7 26.49
S65-COST cone 0.1 52 39.3 3.0 7.54
S65-COST cone 0.02 224 148.8 16.7 11.21
S65-COST cone 0.004 1156 874.4 205.2 23.47
S65-COST l_prism 0.1 20 24.5 1.0 4.12
S65-COST l_prism 0.02 20 23.3 1.0 4.14
S65-COST l_prism 0.004 20 25.8 1.3 4.90
S65-COST washer 0.1 100 111.1 6.0 5.37
S65-COST washer 0.02 220 374.8 15.5 4.14
S65-COST washer 0.004 484 902.0 61.7 6.84
S65-COST donut 0.1 14620 14610.1 3508.2 24.01
S65-COST donut 0.02 71820 76557.3 18836.5 24.60
S65-COST donut 0.004 356168 513560.6 103379.5 20.13
S65-COST sphere_wedge 0.1 46 42.2 3.0 7.02
S65-COST sphere_wedge 0.02 212 176.5 17.6 9.95
S65-COST sphere_wedge 0.004 1014 946.5 202.0 21.35
S65-COST wedge 0.1 32 36.2 2.0 5.45
S65-COST wedge 0.02 60 63.4 3.9 6.18
S65-COST wedge 0.004 128 153.9 9.9 6.46
S65-COST cone_wedge 0.1 4 8.4 0.2 2.05
S65-COST cone_wedge 0.02 4 9.0 0.2 2.14
S65-COST cone_wedge 0.004 4 8.6 0.2 2.01
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 30.17s

