
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 66.2 9.8 14.80
S65-COST ball 0.02 620 335.2 102.5 30.59
S65-COST ball 0.004 3012 1527.3 681.8 44.64
S65-COST cone 0.1 52 33.8 3.8 11.16
S65-COST cone 0.02 224 109.4 20.1 18.42
S65-COST cone 0.004 1156 542.9 189.8 34.97
S65-COST l_prism 0.1 20 34.6 1.8 5.13
S65-COST l_prism 0.02 20 30.3 1.6 5.36
S65-COST l_prism 0.004 20 25.0 1.3 4.99
S65-COST washer 0.1 100 97.1 8.0 8.29
S65-COST washer 0.02 220 360.0 19.7 5.46
S65-COST washer 0.004 484 839.7 60.4 7.19
S65-COST donut 0.1 14620 9414.7 3114.6 33.08
S65-COST donut 0.02 71820 50219.4 17181.8 34.21
S65-COST donut 0.004 356168 363842.5 101702.9 27.95
S65-COST sphere_wedge 0.1 46 38.3 3.2 8.48
S65-COST sphere_wedge 0.02 212 116.3 19.2 16.53
S65-COST sphere_wedge 0.004 1014 577.8 175.2 30.33
S65-COST wedge 0.1 32 24.7 1.8 7.40
S65-COST wedge 0.02 60 43.6 4.1 9.52
S65-COST wedge 0.004 128 118.3 11.1 9.40
S65-COST cone_wedge 0.1 4 10.0 0.3 2.61
S65-COST cone_wedge 0.02 4 7.9 0.2 2.44
S65-COST cone_wedge 0.004 4 7.8 0.2 2.30
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 22.51s

