
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 77.4 10.0 12.89
S65-COST ball 0.02 620 390.9 105.6 27.02
S65-COST ball 0.004 3012 1782.1 713.6 40.04
S65-COST cone 0.1 52 38.5 3.7 9.68
S65-COST cone 0.02 224 128.6 21.7 16.89
S65-COST cone 0.004 1156 656.1 222.5 33.91
S65-COST l_prism 0.1 20 25.7 1.3 5.12
S65-COST l_prism 0.02 20 25.2 1.2 4.72
S65-COST l_prism 0.004 20 23.9 1.2 4.87
S65-COST washer 0.1 100 107.7 7.8 7.20
S65-COST washer 0.02 220 360.4 19.7 5.46
S65-COST washer 0.004 484 912.6 62.3 6.83
S65-COST donut 0.1 14620 13167.3 3717.0 28.23
S65-COST donut 0.02 71820 58171.5 19110.8 32.85
S65-COST donut 0.004 356168 395210.0 99059.2 25.06
S65-COST sphere_wedge 0.1 46 38.7 3.4 8.66
S65-COST sphere_wedge 0.02 212 128.8 18.1 14.05
S65-COST sphere_wedge 0.004 1014 659.7 199.8 30.29
S65-COST wedge 0.1 32 29.9 2.2 7.41
S65-COST wedge 0.02 60 51.9 4.7 9.05
S65-COST wedge 0.004 128 120.5 10.5 8.75
S65-COST cone_wedge 0.1 4 7.6 0.2 2.50
S65-COST cone_wedge 0.02 4 8.2 0.2 2.23
S65-COST cone_wedge 0.004 4 7.8 0.2 2.26
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 24.33s

