
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 68.7 10.8 15.72
S65-COST ball 0.02 620 336.6 98.3 29.22
S65-COST ball 0.004 3012 1445.9 647.9 44.81
S65-COST cone 0.1 52 34.3 3.8 11.05
S65-COST cone 0.02 224 110.0 20.9 19.00
S65-COST cone 0.004 1156 501.2 252.0 50.27
S65-COST l_prism 0.1 20 36.4 1.6 4.52
S65-COST l_prism 0.02 20 35.3 1.5 4.33
S65-COST l_prism 0.004 20 32.1 1.5 4.65
S65-COST washer 0.1 100 89.7 6.6 7.37
S65-COST washer 0.02 220 341.4 19.0 5.57
S65-COST washer 0.004 484 884.2 61.8 6.99
S65-COST donut 0.1 14620 9993.7 3435.2 34.37
S65-COST donut 0.02 71820 53588.0 17842.4 33.30
S65-COST donut 0.004 356168 335978.9 101154.0 30.11
S65-COST sphere_wedge 0.1 46 34.1 3.2 9.53
S65-COST sphere_wedge 0.02 212 115.9 18.9 16.31
S65-COST sphere_wedge 0.004 1014 579.9 169.4 29.21
S65-COST wedge 0.1 32 25.1 1.9 7.39
S65-COST wedge 0.02 60 42.8 3.8 8.99
S65-COST wedge 0.004 128 101.0 9.7 9.60
S65-COST cone_wedge 0.1 4 6.4 0.2 2.55
S65-COST cone_wedge 0.02 4 6.8 0.2 2.21
S65-COST cone_wedge 0.004 4 6.1 0.1 2.35
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 21.57s

