
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 92.7 9.8 10.53
S65-COST ball 0.02 620 599.7 88.1 14.69
S65-COST ball 0.004 3012 2934.5 837.7 28.55
S65-COST cone 0.1 52 52.2 3.4 6.57
S65-COST cone 0.02 224 199.9 25.6 12.81
S65-COST cone 0.004 1156 1176.6 229.3 19.48
S65-COST l_prism 0.1 20 29.1 1.1 3.85
S65-COST l_prism 0.02 20 27.3 1.1 4.12
S65-COST l_prism 0.004 20 27.2 1.1 4.16
S65-COST washer 0.1 100 133.0 7.2 5.41
S65-COST washer 0.02 220 440.7 18.4 4.17
S65-COST washer 0.004 484 1051.6 60.9 5.79
S65-COST donut 0.1 14620 14006.6 3115.1 22.24
S65-COST donut 0.02 71820 80301.1 17307.1 21.55
S65-COST donut 0.004 356168 477735.0 98477.3 20.61
S65-COST sphere_wedge 0.1 46 38.6 3.1 7.93
S65-COST sphere_wedge 0.02 212 158.2 14.7 9.32
S65-COST sphere_wedge 0.004 1014 850.2 167.8 19.74
S65-COST wedge 0.1 32 35.3 2.4 6.71
S65-COST wedge 0.02 60 58.8 3.4 5.80
S65-COST wedge 0.004 128 147.6 10.1 6.86
S65-COST cone_wedge 0.1 4 8.5 0.2 2.10
S65-COST cone_wedge 0.02 4 8.3 0.2 1.99
S65-COST cone_wedge 0.004 4 9.2 0.2 1.86
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 28.62s

