
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 69.3 10.2 14.74
S65-COST ball 0.02 620 353.7 103.0 29.13
S65-COST ball 0.004 3012 1625.7 693.1 42.64
S65-COST cone 0.1 52 36.0 3.8 10.64
S65-COST cone 0.02 224 112.9 21.1 18.70
S65-COST cone 0.004 1156 587.8 220.2 37.46
S65-COST l_prism 0.1 20 27.4 1.3 4.69
S65-COST l_prism 0.02 20 26.3 1.5 5.57
S65-COST l_prism 0.004 20 26.3 1.2 4.62
S65-COST washer 0.1 100 109.5 8.3 7.63
S65-COST washer 0.02 220 360.3 19.2 5.33
S65-COST washer 0.004 484 896.8 52.1 5.81
S65-COST donut 0.1 14620 10158.6 3638.8 35.82
S65-COST donut 0.02 71820 53000.1 19191.5 36.21
S65-COST donut 0.004 356168 361818.1 96756.7 26.74
S65-COST sphere_wedge 0.1 46 30.4 2.7 8.85
S65-COST sphere_wedge 0.02 212 101.0 16.6 16.47
S65-COST sphere_wedge 0.004 1014 563.2 179.8 31.92
S65-COST wedge 0.1 32 27.9 2.1 7.55
S65-COST wedge 0.02 60 47.4 3.5 7.44
S65-COST wedge 0.004 128 107.5 9.5 8.79
S65-COST cone_wedge 0.1 4 6.6 0.2 2.55
S65-COST cone_wedge 0.02 4 6.7 0.1 2.22
S65-COST cone_wedge 0.004 4 6.6 0.1 2.25
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 22.49s

