
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 88.4 14.1 15.92
S65-COST ball 0.02 620 437.4 108.6 24.84
S65-COST ball 0.004 3012 1956.9 716.4 36.61
S65-COST cone 0.1 52 43.6 3.9 8.84
S65-COST cone 0.02 224 139.6 22.7 16.28
S65-COST cone 0.004 1156 724.7 234.0 32.29
S65-COST l_prism 0.1 20 31.0 1.3 4.21
S65-COST l_prism 0.02 20 26.7 1.2 4.44
S65-COST l_prism 0.004 20 35.4 1.2 3.31
S65-COST washer 0.1 100 128.4 7.7 6.03
S65-COST washer 0.02 220 419.7 29.0 6.91
S65-COST washer 0.004 484 1011.9 67.0 6.62
S65-COST donut 0.1 14620 11428.5 3449.8 30.19
S65-COST donut 0.02 71820 62646.3 18975.2 30.29
S65-COST donut 0.004 356168 427726.7 104986.4 24.55
S65-COST sphere_wedge 0.1 46 43.6 3.3 7.50
S65-COST sphere_wedge 0.02 212 156.0 20.3 13.04
S65-COST sphere_wedge 0.004 1014 734.6 210.1 28.60
S65-COST wedge 0.1 32 36.4 3.2 8.87
S65-COST wedge 0.02 60 63.1 4.4 6.94
S65-COST wedge 0.004 128 142.4 12.3 8.62
S65-COST cone_wedge 0.1 4 8.3 0.2 2.26
S65-COST cone_wedge 0.02 4 11.5 0.2 1.59
S65-COST cone_wedge 0.004 4 8.3 0.2 2.22
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 26.02s

