
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 82.8 11.6 14.06
S65-COST ball 0.02 620 407.5 114.0 27.98
S65-COST ball 0.004 3012 1783.9 691.9 38.79
S65-COST cone 0.1 52 40.2 4.3 10.58
S65-COST cone 0.02 224 149.5 21.3 14.21
S65-COST cone 0.004 1156 696.7 216.3 31.05
S65-COST l_prism 0.1 20 28.2 1.3 4.59
S65-COST l_prism 0.02 20 27.4 1.2 4.48
S65-COST l_prism 0.004 20 26.9 1.2 4.29
S65-COST washer 0.1 100 112.6 6.6 5.84
S65-COST washer 0.02 220 392.1 20.2 5.15
S65-COST washer 0.004 484 1065.9 72.8 6.83
S65-COST donut 0.1 14620 11610.4 3629.4 31.26
S65-COST donut 0.02 71820 57242.8 18822.0 32.88
S65-COST donut 0.004 356168 392133.0 97920.7 24.97
S65-COST sphere_wedge 0.1 46 33.5 2.8 8.48
S65-COST sphere_wedge 0.02 212 129.8 20.7 15.92
S65-COST sphere_wedge 0.004 1014 646.8 202.9 31.37
S65-COST wedge 0.1 32 35.2 2.2 6.29
S65-COST wedge 0.02 60 60.1 4.3 7.20
S65-COST wedge 0.004 128 133.7 10.1 7.58
S65-COST cone_wedge 0.1 4 8.8 0.2 2.17
S65-COST cone_wedge 0.02 4 8.3 0.2 2.20
S65-COST cone_wedge 0.004 4 8.2 0.2 2.09
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 24.05s

