
running 1 test
test issue897_s65_cost::issue897_guard_cost_report ... S65-COST eps = 0.000000001
S65-COST body delta tris tess_us check_us check_pct
S65-COST ball 0.1 116 76.8 9.8 12.79
S65-COST ball 0.02 620 337.7 104.9 31.06
S65-COST ball 0.004 3012 1639.8 595.9 36.34
S65-COST cone 0.1 52 32.1 3.2 9.96
S65-COST cone 0.02 224 107.6 16.9 15.68
S65-COST cone 0.004 1156 558.0 191.5 34.32
S65-COST l_prism 0.1 20 32.3 1.4 4.26
S65-COST l_prism 0.02 20 33.1 1.4 4.25
S65-COST l_prism 0.004 20 22.0 1.0 4.73
S65-COST washer 0.1 100 92.4 6.6 7.15
S65-COST washer 0.02 220 298.3 15.9 5.33
S65-COST washer 0.004 484 758.7 52.7 6.95
S65-COST donut 0.1 14620 11767.1 3713.0 31.55
S65-COST donut 0.02 71820 60793.1 18824.0 30.96
S65-COST donut 0.004 356168 386470.1 101382.7 26.23
S65-COST sphere_wedge 0.1 46 36.9 3.3 8.88
S65-COST sphere_wedge 0.02 212 129.5 18.5 14.29
S65-COST sphere_wedge 0.004 1014 669.6 173.0 25.83
S65-COST wedge 0.1 32 30.6 2.2 7.19
S65-COST wedge 0.02 60 52.5 4.1 7.86
S65-COST wedge 0.004 128 120.8 10.4 8.65
S65-COST cone_wedge 0.1 4 7.8 0.2 2.49
S65-COST cone_wedge 0.02 4 8.0 0.2 2.38
S65-COST cone_wedge 0.004 4 7.5 0.2 2.33
ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 137 filtered out; finished in 24.07s

