row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs,task_class,instrument
M7-6,v3,M7,2026-08-09,M,fable,1,1,4,3,0,4,2,3,NA,pre_v5
REBASELINE,v3,M8,2026-08-10,S,fable,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
RENDER-CLI,v3,M8,2026-08-10,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
M8-C1,v3,M8,2026-08-10,M,opus,1,1,2,3,0,5,4,4,NA,pre_v5
M8-5,v3,M8,2026-08-10,M,fable,1,1,2,4,0,5,4,5,NA,pre_v5
M8-2,v3,M8,2026-08-10,M,opus,1,0,2,2,NA,5,4,5,NA,pre_v5
M8-1,v3,M8,2026-08-10,S,fable,1,2,1,3,0,5,3,4,NA,pre_v5
M7-8,v3,M7,2026-08-09,M,opus,1,1,2,3,0,5,3,5,NA,pre_v5
CALOCH,v3,M7,2026-08-09,S,opus,0,NA,NA,NA,0,NA,NA,NA,NA,pre_v5
M7-7,v3,M7,2026-08-09,M,opus,1,1,2,4,2,5,4,5,NA,pre_v5
M7-5,v2,M7,2026-08-08,M,fable,1,3,3,2,0,4,2,3,NA,pre_v5
U2,v2,LIB,2026-08-08,L,fable,1,1,1,3,2,5,4,5,NA,pre_v5
SWITCH-P,v3,LIB,2026-08-09,L,opus,1,0,4,2,0,5,4,4,NA,pre_v5
U7,v3,LIB,2026-08-09,M,opus,1,0,1,3,0,5,4,4,NA,pre_v5
G2,v3,LIB,2026-08-09,L,opus,1,0,3,2,0,5,4,4,NA,pre_v5
G1,v2,LIB,2026-08-08,M,opus,1,1,1,3,0,5,4,4,NA,pre_v5
U3,v2,LIB,2026-08-08,M,fable,1,0,0,3,0,NA,NA,NA,NA,pre_v5
U1,v2,LIB,2026-08-07,S,opus,1,0,2,3,0,5,3,3,NA,pre_v5
U5,v3,LIB,2026-08-09,M,opus,1,0,2,5,0,5,3,4,NA,pre_v5
U9S,v3,LIB,2026-08-09,M,opus,1,0,3,4,0,5,4,4,NA,pre_v5
SEL1,v3,LIB,2026-08-09,M,opus,1,0,1,2,0,5,4,4,NA,pre_v5
SWITCH-E,v3,LIB,2026-08-09,L,fable,1,2,2,6,0,5,4,4,NA,pre_v5
SEL2,v3,LIB,2026-08-10,M,fable,1,0,1,3,0,NA,NA,NA,NA,pre_v5
DOORS,v3,LIB,2026-08-10,M,fable,1,0,3,4,0,5,4,4,NA,pre_v5
PR-C,v3,LIB,2026-08-10,M,opus,1,0,2,3,0,5,4,5,NA,pre_v5
PYG1,v3,LIB,2026-08-10,L,opus,1,0,3,3,2,5,5,4,NA,pre_v5
U10,v3,LIB,2026-08-10,M,opus,1,0,1,4,0,5,5,4,NA,pre_v5
R1-PARAMS,v3,LIB,2026-08-10,S,fable,1,0,1,4,0,5,5,5,NA,pre_v5
PY-CI,v3,LIB,2026-08-10,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,pre_v5
PYG23A,v3,LIB,2026-08-11,M,opus,1,0,1,4,0,5,4,4,NA,pre_v5
ASM-1,v3,ASM,2026-08-11,M,fable,1,0,1,4,0,5,5,4,NA,pre_v5
PYBUNDLE,v3,LIB,2026-08-11,M,opus,1,1,2,3,3,5,4,3,NA,pre_v5
ASM-ROOTS,v3,ASM,2026-08-11,M,opus,1,0,0,5,0,5,5,4,NA,pre_v5
ASM-2K,v3,ASM,2026-08-11,M,opus,1,0,2,3,0,5,4,4,NA,pre_v5
M8-3,v3,M8,2026-08-11,L,opus,1,1,2,5,0,5,3,5,NA,pre_v5
M8-14a,v3,M8,2026-08-11,M,fable,1,0,2,2,0,5,3,5,NA,pre_v5
PYSEL,v3,LIB,2026-08-11,M,fable,1,0,2,4,1,5,4,4,NA,pre_v5
ASM-2A,v3,ASM,2026-08-12,L,opus,1,1,4,3,0,4,5,4,structural?,pre_v5
LBRET,v3,LIB,2026-08-12,M,opus,1,1,2,2,0,4,5,4,numeric?,pre_v5
ASM-2B,v3,ASM,2026-08-12,M,opus,1,0,1,3,0,NA,NA,NA,structural,pre_v5
U4B,v4,LIB,2026-08-12,M,opus,1,0,2,3,0,5,5,4,numeric,pre_v5
U4A-DOOR,v4,LIB,2026-08-12,L,opus,1,0,2,NA,2,5,4,4,numeric,pre_v5
RETTAIL,v4,LIB,2026-08-12,M,opus,1,0,0,3,0,5,5,4,structural,pre_v5
M8-F67,v4,M8,2026-08-15,M,opus,1,0,2,4,0,5,5,4,numeric,pre_v5
M8-4,v3,M8,2026-08-15,M,opus,1,0,2,2,1,4,4,4,numeric,pre_v5
ASM-4,v3,ASM,2026-08-16,L,fable,1,0,2,3,0,5,4,4,structural,pre_v5
M9-D1,v4,M9,2026-08-16,M,opus,1,0,0,3,0,5,5,5,structural,pre_v5
G14,v4,LIB,2026-08-16,M,opus,1,0,2,3,1,5,4,4,structural,pre_v5
PYG5,v4,LIB,2026-08-16,M,fable,1,0,2,3,0,5,4,4,structural,pre_v5
RESPELL-PR1,v4,LIB,2026-08-16,L,fable,1,2,3,NA,1,4,4,4,numeric,pre_v5
ASM-UPD,v4,ASM,2026-08-16,M,opus,1,0,1,2,0,5,4,5,structural,pre_v5
M9-1,v4,M9,2026-08-16,L,opus,1,2,5,3,2,4,4,4,numeric,pre_v5
MESH-PROBEGATE,v4,ASM,2026-08-16,M,opus,1,0,0,2,0,5,5,5,structural,pre_v5
PLACEDUNION,v4,LIB,2026-08-16,L,opus,1,1,NA,NA,5,4,4,3,structural,pre_v5
RESPELL-PR2,v4,LIB,2026-08-16,L,opus,1,NA,NA,NA,2,4,3,3,structural,pre_v5
ASM-R2A,v4,ASM,2026-08-16,L,opus,1,2,2,3,0,5,3,4,numeric,pre_v5
M9-2,v4,M9,2026-08-17,L,fable,1,0,3,4,1,NA,NA,NA,numeric,pre_v5
SEAL,v4,LIB,2026-08-17,M,opus,1,2,2,3,2,3,3,4,structural,pre_v5
PYPU,v4,LIB,2026-08-18,M,opus,1,0,2,3,1,5,5,5,structural,pre_v5
ASM-R2B,v4,ASM,2026-08-18,M,opus,1,2,3,4,0,4.5,3.5,3,structural,pre_v5
TESS-SPAN,v4,ASM,2026-08-18,L,fable,1,0,4,5,0,4,4,3,numeric,pre_v5
ONARC,v4,LIB,2026-08-18,M,fable,1,2,3,6,2,3,3,4,structural,pre_v5
RTABLE,v4,LIB,2026-08-18,M,opus,1,1,2,0,0,5,4,4,structural,v5
PERR,v4,LIB,2026-08-18,S,fable,1,0,1,2,0,5,4,5,structural,v5
RIM,v4,VERBS,2026-08-22,M,fable,1,0,2,3,4,4,4,4,NA,v5
CHAMFER,v4,VERBS,2026-08-22,M,opus,1,0,4,5,1,5,4,4,NA,v5
ARCEVAL,v4,VERBS,2026-08-22,S,opus,1,0,2,3,2,5,4,4,NA,v5
SSIFLAT,v4,VERBS,2026-08-23,M,opus,1,0,2,1,2,5,4,5,NA,v5
ARMS1,v4,VERBS,2026-08-23,L,opus,1,1,4,3,0,5,4,3,NA,v5
ASM-DEMO,v4,ASM,2026-08-23,M,opus,1,0,3,4,2,5,4,4,structural,v5
TESS-SPLIT,v4,ASM,2026-08-23,M,fable,1,1,4,2,0,5,4,3,numeric,v5
DEMO,v4,VERBS,2026-08-23,S,opus,1,1,3,2,0,4,5,3,NA,v5
CREST,v4,M9,2026-08-23,S,opus,1,0,4,2,0,5,4,3,structural,v5
ARMS2,v4,VERBS,2026-08-25,L,opus,1,1,4,4,0,5,4,4,NA,v5
TUBEWALL,v4,VERBS,2026-08-25,S,opus,1,0,3,3,1,5,4,4,NA,v5
