# perf-gui stage timings — release profile
# reps = 3, tol = witness, budget δ chosen by scene::fit_delta
# die: landing = Landed
# die: landing = Landed
# die: landing = Landed

## die — 84 nodes, δ = 1.000e-4 m, 348 triangles
| stage | median ms | ± % |
|   of which: product_recorded (the gather) | 0.16 | 12.8 |
|   of which: run_checks_on (advisory registry) | 0.00 | 138.2 |
| fit_delta: probe tessellation (open only) | 0.04 | 39.4 |
| INDEX build total (tessellate + BVH + id map) | 0.10 | 12.9 |
|   of which: mesh::tessellate (whole model) | 0.04 | 18.0 |
| scene: scene_focused (GPU vertex assembly) | 0.00 | 108.5 |
| == EDIT→PICTURE TOTAL == | 2.94 | 0.0 |
# declared_tangency: landing = Landed
# declared_tangency: landing = Landed
# declared_tangency: landing = Landed

## declared_tangency — 6 nodes, δ = 1.000e-4 m, 488 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.14 | 31.0 |
| eval: edit WITH prior (memo) | 0.07 | 7.4 |
| eval: edit WITHOUT prior | 0.13 | 13.9 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.01 | 142.3 |
| land: gather + checks registry + A5 badge | 0.22 | 13.6 |
|   of which: product_recorded (the gather) | 0.23 | 12.1 |
|   of which: run_checks_on (advisory registry) | 0.02 | 57.3 |
| fit_delta: probe tessellation (open only) | 0.30 | 13.5 |
| INDEX build total (tessellate + BVH + id map) | 0.78 | 3.6 |
|   of which: mesh::tessellate (whole model) | 0.68 | 1.9 |
| scene: scene_focused (GPU vertex assembly) | 0.01 | 19.2 |
| == EDIT→PICTURE TOTAL == | 1.09 | 0.0 |
# kitchen_sink: landing = Landed
# kitchen_sink: landing = Landed
# kitchen_sink: landing = Landed

## kitchen_sink — 19 nodes, δ = 1.000e-4 m, 916 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 1.31 | 5.7 |
| eval: edit WITH prior (memo) | 0.20 | 4.0 |
| eval: edit WITHOUT prior | 1.16 | 5.5 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.08 | 21.6 |
| land: gather + checks registry + A5 badge | 0.87 | 2.5 |
|   of which: product_recorded (the gather) | 0.79 | 1.8 |
|   of which: run_checks_on (advisory registry) | 0.05 | 47.6 |
| fit_delta: probe tessellation (open only) | 0.45 | 9.4 |
| INDEX build total (tessellate + BVH + id map) | 1.43 | 1.9 |
|   of which: mesh::tessellate (whole model) | 1.14 | 1.0 |
| scene: scene_focused (GPU vertex assembly) | 0.01 | 18.3 |
| == EDIT→PICTURE TOTAL == | 2.59 | 0.0 |
# cut_cylinder: landing = Landed
# cut_cylinder: landing = Landed
# cut_cylinder: landing = Landed

## cut_cylinder — 5 nodes, δ = 1.000e-4 m, 32932 triangles
| stage | median ms | ± % |
|---|---:|---:|
| eval: full, no prior (open) | 0.15 | 52.0 |
| eval: edit WITH prior (memo) | 0.09 | 30.4 |
| eval: edit WITHOUT prior | 0.11 | 17.3 |
| edit door: SetSlotExpression (parse+apply+history+submit) | 0.02 | 39.6 |
| land: gather + checks registry + A5 badge | 10.36 | 0.4 |
|   of which: product_recorded (the gather) | 6.91 | 0.4 |
